PIEVERSE,BUY,LIMIT,IOC,96,0.8279000,0.8123000,FILLED,96,96,1765417090330,79.4784
ZEC,SELL,LIMIT,IOC,2.000,389.11,392.90,FILLED,2.000,2.000,1765417090478,778.22
PIEVERSE,BUY,LIMIT,IOC,49,0.8297000,0.8137000,FILLED,49,49,1765417094340,40.6553
ASTER,SELL,LIMIT,IOC,47,0.9183000,0.9262000,FILLED,36,47,1765417099124,43.1601
ASTER,SELL,LIMIT,IOC,2108,0.9180000,0.9269000,FILLED,353,2108,1765417100159,1935.144
TIA,SELL,LIMIT,IOC,352,0.5841000,0.5898000,FILLED,335,352,1765417103558,205.6032
PIEVERSE,BUY,LIMIT,IOC,47,0.8302000,0.8127000,FILLED,34,47,1765417103558,39.019400000000005
FHE,BUY,LIMIT,IOC,182,0.0616800,0.0588400,FILLED,97,182,1765417103558,11.22576
MON,SELL,LIMIT,IOC,184,0.0255100,0.0257700,FILLED,184,184,1765417103558,4.693840000000001
FOLKS,BUY,LIMIT,IOC,0.6,15.740000,15.514000,FILLED,0.6,0.6,1765417103558,9.443999999999999
LIGHT,BUY,LIMIT,IOC,38,0.9326000,0.9194000,FILLED,18,38,1765417108308,35.4388
IRYS,SELL,LIMIT,IOC,266,0.0307650,0.0315520,FILLED,266,266,1765417109147,8.18349
ZEN,SELL,LIMIT,IOC,111.6,8.902,9.081,FILLED,10.0,111.6,1765417113302,993.4631999999999
PIPPIN,SELL,LIMIT,IOC,523,0.3069000,0.3236800,FILLED,523,523,1765417118551,160.5087
TRUTH,SELL,LIMIT,IOC,15630,0.0221320,0.0224084,FILLED,5573,15630,1765417118551,345.92316
TRUTH,SELL,LIMIT,IOC,6985,0.0223490,0.0224394,FILLED,619,6985,1765417119620,156.107765
TRUTH,SELL,LIMIT,IOC,51508,0.0222820,0.0223898,FILLED,271,51508,1765417121077,1147.701256
TRUTH,SELL,LIMIT,IOC,527,0.0222480,0.0224678,FILLED,82,527,1765417123081,11.724696
TRUTH,SELL,LIMIT,IOC,369,0.0222190,0.0223850,FILLED,369,369,1765417129066,8.198811
SOL,SELL,LIMIT,IOC,2.88,132.7600,133.4300,FILLED,2.88,2.88,1765417129188,382.3488
LUNA2,SELL,LIMIT,IOC,3044,0.1920300,0.1947700,FILLED,3015,3044,1765417129189,584.53932
IRYS,SELL,LIMIT,IOC,2582,0.0284020,0.0315274,FILLED,38,2582,1765417129883,73.333964
TRUTH,SELL,LIMIT,IOC,73959,0.0221730,0.0222083,FILLED,4252,73959,1765417131100,1639.892907
TRUTH,SELL,LIMIT,IOC,214675,0.0221500,0.0221895,FILLED,1706,214675,1765417132156,4755.0512499999995
TRUTH,SELL,LIMIT,IOC,4980,0.0221010,0.0222615,FILLED,2152,4980,1765417133407,110.06298
Q,BUY,LIMIT,IOC,3358,0.0152600,0.0149880,FILLED,1357,3358,1765417134582,51.24308
PIPPIN,SELL,LIMIT,IOC,3120,0.3089700,0.3238900,FILLED,225,3120,1765417138991,963.9864000000001
TRUTH,SELL,LIMIT,IOC,88784,0.0219150,0.0224274,FILLED,1133,88784,1765417138991,1945.70136
NIGHT,BUY,LIMIT,IOC,292,0.0670900,0.0660500,FILLED,292,292,1765417140149,19.59028
PIEVERSE,BUY,LIMIT,IOC,22,0.8322000,0.8151000,FILLED,22,22,1765417140359,18.308400000000002
TRUTH,SELL,LIMIT,IOC,365618,0.0221200,0.0223486,FILLED,423,365618,1765417151585,8087.47016
PENGU,SELL,LIMIT,IOC,13792,0.0112680,0.0113800,FILLED,10674,13792,1765417152088,155.408256
TRADOOR,SELL,LIMIT,IOC,107,1.4050000,1.4330000,FILLED,107,107,1765417152088,150.335
MERL,SELL,LIMIT,IOC,314,0.3417600,0.3447878,FILLED,15,314,1765417152088,107.31264
PIPPIN,SELL,LIMIT,IOC,321,0.3184300,0.3230192,FILLED,111,321,1765417152088,102.21603
PIPPIN,SELL,LIMIT,IOC,1750,0.3181600,0.3231426,FILLED,86,1750,1765417153551,556.78
TRUTH,SELL,LIMIT,IOC,10862,0.0220520,0.0223883,FILLED,7055,10862,1765417153551,239.528824
LIGHT,SELL,LIMIT,IOC,6,0.9000000,0.9141000,FILLED,6,6,1765417153605,5.4
GRASS,BUY,LIMIT,IOC,15.5,0.3371000,0.3338000,FILLED,15.5,15.5,1765417156296,5.22505
PIEVERSE,BUY,LIMIT,IOC,129,0.8335000,0.8166000,FILLED,7,129,1765417158417,107.5215
FOLKS,BUY,LIMIT,IOC,56.8,15.739000,15.511045,FILLED,0.2,56.8,1765417158482,893.9752
PIPPIN,SELL,LIMIT,IOC,5250,0.3089000,0.3235924,FILLED,109,5250,1765417159340,1621.7250000000001
TRUTH,SELL,LIMIT,IOC,244773,0.0220670,0.0223639,FILLED,9148,244773,1765417159340,5401.405791
IRYS,SELL,LIMIT,IOC,1255,0.0283880,0.0315042,FILLED,975,1255,1765417163219,35.62694
USTC,SELL,LIMIT,IOC,3730,0.0102070,0.0103420,FILLED,3730,3730,1765417173536,38.07211
USTC,SELL,LIMIT,IOC,19148,0.0101930,0.0103522,FILLED,13478,19148,1765417178278,195.175564
PIPPIN,SELL,LIMIT,IOC,1232,0.3079100,0.3232543,FILLED,29,1232,1765417179783,379.34512
IRYS,SELL,LIMIT,IOC,5320,0.0283920,0.0314311,FILLED,4320,5320,1765417183701,151.04544
IRYS,SELL,LIMIT,IOC,5656,0.0307070,0.0314213,FILLED,438,5656,1765417187298,173.67879200000002
ASTER,SELL,LIMIT,IOC,356,0.9175000,0.9267000,FILLED,356,356,1765417196352,326.63
TRUTH,SELL,LIMIT,IOC,4576,0.0220070,0.0221808,FILLED,256,4576,1765417198096,100.704032
AIOT,SELL,LIMIT,IOC,115,0.2694000,0.2743000,FILLED,25,115,1765417198680,30.980999999999998
PIPPIN,SELL,LIMIT,IOC,764,0.3074600,0.3235200,FILLED,176,764,1765417200217,234.89944
TRUTH,SELL,LIMIT,IOC,2023,0.0219470,0.0222309,FILLED,23,2023,1765417201251,44.398781
USTC,SELL,LIMIT,IOC,651,0.0101860,0.0103360,FILLED,651,651,1765417202157,6.631086000000001
TRUTH,SELL,LIMIT,IOC,33916,0.0219330,0.0221948,FILLED,1228,33916,1765417202359,743.879628
TRUTH,SELL,LIMIT,IOC,132953,0.0219210,0.0221168,FILLED,44378,132953,1765417203648,2914.462713
IRYS,SELL,LIMIT,IOC,13904,0.0283880,0.0314398,FILLED,7658,13904,1765417204079,394.706752
PIEVERSE,BUY,LIMIT,IOC,9,0.8351760,0.8155000,FILLED,9,9,1765417204532,7.516584
TRUTH,SELL,LIMIT,IOC,440,0.0218250,0.0221970,FILLED,440,440,1765417205095,9.603
