timestamp,ticker,side,entry_price,current_price,unrealized_pnl,pnl_pct,status
2025-12-22T20:46:00.820659,KXGDP-26JAN30-T2.5,yes,0.29,,,,open
2025-12-22T20:46:00.820659,_PORTFOLIO_TOTAL,,196.91,,,,summary
2025-12-22T21:09:32.298282,KXGDP-26JAN30-T2.5,yes,0.29,0.29,0.0,0.0,open
2025-12-22T21:09:32.298282,_PORTFOLIO_TOTAL,,196.91,196.91,0.0,0.0,summary
2025-12-22T21:17:54.952421,KXGDP-26JAN30-T2.5,yes,0.29,0.28,0.0,0.0,open
2025-12-22T21:17:54.952421,KXCPICOMBO-25DEC-027,yes,0.35,,,,open
2025-12-22T21:17:54.952421,KXGDP-26JAN30-T1.75,yes,0.62,,,,open
2025-12-22T21:17:54.952421,_PORTFOLIO_TOTAL,,711.16,,,,summary
2025-12-22T21:46:12.456316,KXGDP-26JAN30-T2.5,yes,0.29,0.29,0.0,0.0,open
2025-12-22T21:46:12.456316,_PORTFOLIO_TOTAL,,196.91,196.91,0.0,0.0,summary
2025-12-22T22:00:32.523961,KXGDP-26JAN30-T2.5,yes,0.29,0.28,0.0,0.0,open
2025-12-22T22:00:32.523961,KXCPICOMBO-25DEC-027,yes,0.34,,,,open
2025-12-22T22:00:32.523961,_PORTFOLIO_TOTAL,,390.03,,,,summary
2025-12-22T22:17:59.371607,KXGDP-26JAN30-T2.5,yes,0.29,0.29,0.0,0.0,open
2025-12-22T22:17:59.371607,KXCPICOMBO-25DEC-027,yes,0.35,0.34,-6.81,-2.86,open
2025-12-22T22:17:59.371607,KXGDP-26JAN30-T1.75,yes,0.62,0.62,0.0,0.0,open
2025-12-22T22:17:59.371607,_PORTFOLIO_TOTAL,,711.16,704.35,-6.81,-0.96,summary
2025-12-22T22:31:58.872836,KXGDP-26JAN30-T2.5,yes,0.29,0.28,0.0,0.0,open
2025-12-22T22:31:58.872836,KXCPICOMBO-25DEC-027,yes,0.35,0.34,-6.81,-2.86,open
2025-12-22T22:31:58.872836,KXGDP-26JAN30-T1.75,yes,0.62,0.62,0.0,0.0,open
2025-12-22T22:31:58.872836,_PORTFOLIO_TOTAL,,711.16,704.35,-6.81,-0.96,summary
2025-12-22T23:00:36.383341,KXGDP-26JAN30-T2.5,yes,0.29,0.29,0.0,0.0,open
2025-12-22T23:00:36.383341,KXCPICOMBO-25DEC-027,yes,0.34,0.34,0.0,0.0,open
2025-12-22T23:00:36.383341,_PORTFOLIO_TOTAL,,390.03,390.03,0.0,0.0,summary
2025-12-22T23:32:03.103377,KXGDP-26JAN30-T2.5,yes,0.29,0.29,0.0,0.0,open
2025-12-22T23:32:03.103377,KXCPICOMBO-25DEC-027,yes,0.35,0.34,-6.81,-2.86,open
2025-12-22T23:32:03.103377,KXGDP-26JAN30-T1.75,yes,0.62,0.62,0.0,0.0,open
2025-12-22T23:32:03.103377,_PORTFOLIO_TOTAL,,711.16,704.35,-6.81,-0.96,summary
2025-12-23T06:15:44.778144,KXGDP-26JAN30-T2.5,yes,0.29,0.33,27.16,13.79,open
2025-12-23T06:15:44.778144,KXCPICOMBO-25DEC-027,yes,0.35,0.35,0.0,0.0,open
2025-12-23T06:15:44.778144,KXGDP-26JAN30-T1.75,yes,0.62,0.62,0.0,0.0,open
2025-12-23T06:15:44.778144,_PORTFOLIO_TOTAL,,711.16,738.3199999999999,27.16,3.82,summary
2025-12-23T06:24:38.343676,KXGDP-26JAN30-T2.5,yes,0.29,0.33,27.16,13.79,open
2025-12-23T06:24:38.343676,KXCPICOMBO-25DEC-027,yes,0.35,0.35,0.0,0.0,open
2025-12-23T06:24:38.343676,KXGDP-26JAN30-T1.75,yes,0.62,0.62,0.0,0.0,open
2025-12-23T06:24:38.343676,_PORTFOLIO_TOTAL,,711.16,738.3199999999999,27.16,3.82,summary
